ID,Police Station,Destination,Address,Phone,Latitude,Longitude,District,Province
1331,Police Station Birgunj,Birgunj,"Parsa, Nepal",,27.0100,84.8800,Parsa,Madhesh
1332,Police Station Kalaiya,Kalaiya,"Bara, Nepal",,26.9900,84.8700,Bara,Madhesh
1333,Police Station Janakpur,Janakpur,"Dhanusha, Nepal",,26.7300,85.9200,Dhanusha,Madhesh
1334,Police Station Lahan,Lahan,"Siraha, Nepal",,26.7200,86.4800,Siraha,Madhesh
1335,Police Station Rajbiraj,Rajbiraj,"Saptari, Nepal",,26.5400,86.7500,Saptari,Madhesh
1336,Police Station Malangwa,Malangwa,"Sarlahi, Nepal",,26.8600,85.5600,Sarlahi,Madhesh
1337,Police Station Jaleshwar,Jaleshwar,"Mahottari, Nepal",,26.6500,85.8000,Mahottari,Madhesh
1338,Police Station Hetauda,Hetauda,"Makwanpur, Nepal",,27.4300,85.0300,Makwanpur,Bagmati
1339,Police Station Manahari,Manahari,"Makwanpur, Nepal",,27.5500,84.9500,Makwanpur,Bagmati
1340,Police Station Chitwan,Bharatpur,"Chitwan, Nepal",,27.6800,84.4300,Chitwan,Bagmati
1341,Police Station Ratnanagar,Ratnanagar,"Chitwan, Nepal",,27.6200,84.5000,Chitwan,Bagmati
1342,Police Station Pokhara,Pokhara,"Kaski, Nepal",,28.2257,83.9893,Kaski,Gandaki
1343,Police Station Lekhnath,Lekhnath,"Kaski, Nepal",,28.1700,84.0550,Kaski,Gandaki
1344,Police Station Beni,Beni,"Myagdi, Nepal",,28.3500,83.5700,Myagdi,Gandaki
1345,Police Station Baglung,Baglung,"Baglung, Nepal",,28.2700,83.5900,Baglung,Gandaki
1346,Police Station Kushma,Kushma,"Parbat, Nepal",,28.2200,83.6800,Parbat,Gandaki
1347,Police Station Damauli,Damauli,"Tanahun, Nepal",,27.9730,84.2400,Tanahun,Gandaki
1348,Police Station Gorkha,Gorkha,"Gorkha, Nepal",,28.0000,84.6330,Gorkha,Gandaki
1349,Police Station Dhading,Dhadingbesi,"Dhading, Nepal",,27.8700,84.9200,Dhading,Bagmati
1350,Police Station Kathmandu,Kathmandu,"Kathmandu, Nepal",,27.7172,85.3240,Kathmandu,Bagmati
ID,Police Station,Destination,Address,Phone,Latitude,Longitude,District,Province
1351,Police Station Thamel,Thamel,"Kathmandu, Nepal",,27.7150,85.3120,Kathmandu,Bagmati
1352,Police Station Teku,Teku,"Kathmandu, Nepal",,27.6950,85.3060,Kathmandu,Bagmati
1353,Police Station Balaju,Balaju,"Kathmandu, Nepal",,27.7350,85.3000,Kathmandu,Bagmati
1354,Police Station Gongabu,Gongabu,"Kathmandu, Nepal",,27.7350,85.3140,Kathmandu,Bagmati
1355,Police Station Kalanki,Kalanki,"Kathmandu, Nepal",,27.6930,85.2800,Kathmandu,Bagmati
1356,Police Station Koteshwor,Koteshwor,"Kathmandu, Nepal",,27.6780,85.3480,Kathmandu,Bagmati
1357,Police Station Chabahil,Chabahil,"Kathmandu, Nepal",,27.7180,85.3480,Kathmandu,Bagmati
1358,Police Station Boudha,Boudha,"Kathmandu, Nepal",,27.7210,85.3620,Kathmandu,Bagmati
1359,Police Station Baneshwor,Baneshwor,"Kathmandu, Nepal",,27.6920,85.3420,Kathmandu,Bagmati
1360,Police Station Kirtipur,Kirtipur,"Kathmandu, Nepal",,27.6780,85.2770,Kathmandu,Bagmati
1361,Police Station Tokha,Tokha,"Kathmandu, Nepal",,27.7600,85.3250,Kathmandu,Bagmati
1362,Police Station Budhanilkantha,Budhanilkantha,"Kathmandu, Nepal",,27.7800,85.3600,Kathmandu,Bagmati
1363,Police Station Kapan,Kapan,"Kathmandu, Nepal",,27.7550,85.3600,Kathmandu,Bagmati
1364,Police Station Sankhu,Sankhu,"Kathmandu, Nepal",,27.7350,85.4500,Kathmandu,Bagmati
1365,Police Station Sundarijal,Sundarijal,"Kathmandu, Nepal",,27.7900,85.4100,Kathmandu,Bagmati
1366,Police Station Lalitpur,Lalitpur,"Lalitpur, Nepal",,27.6700,85.3150,Lalitpur,Bagmati
1367,Police Station Jawalakhel,Jawalakhel,"Lalitpur, Nepal",,27.6750,85.3150,Lalitpur,Bagmati
1368,Police Station Lagankhel,Lagankhel,"Lalitpur, Nepal",,27.6700,85.3200,Lalitpur,Bagmati
1369,Police Station Satdobato,Satdobato,"Lalitpur, Nepal",,27.6570,85.3240,Lalitpur,Bagmati
1370,Police Station Godawari,Godawari,"Lalitpur, Nepal",,27.5900,85.4200,Lalitpur,Bagmati
1371,Police Station Bhaktapur,Bhaktapur,"Bhaktapur, Nepal",,27.6720,85.4290,Bhaktapur,Bagmati
1372,Police Station Thimi,Thimi,"Bhaktapur, Nepal",,27.6800,85.3870,Bhaktapur,Bagmati
1373,Police Station Jagati,Jagati,"Bhaktapur, Nepal",,27.6500,85.4450,Bhaktapur,Bagmati
1374,Police Station Suryabinayak,Suryabinayak,"Bhaktapur, Nepal",,27.6650,85.4300,Bhaktapur,Bagmati
1375,Police Station Dhulikhel,Dhulikhel,"Kavrepalanchok, Nepal",,27.6200,85.5400,Kavrepalanchok,Bagmati
1376,Police Station Banepa,Banepa,"Kavrepalanchok, Nepal",,27.6300,85.5200,Kavrepalanchok,Bagmati
1377,Police Station Panauti,Panauti,"Kavrepalanchok, Nepal",,27.5800,85.5100,Kavrepalanchok,Bagmati
1378,Police Station Panchkhal,Panchkhal,"Kavrepalanchok, Nepal",,27.6500,85.6200,Kavrepalanchok,Bagmati
1379,Police Station Bidur,Bidur,"Nuwakot, Nepal",,27.9200,85.1600,Nuwakot,Bagmati
1380,Police Station Trishuli,Trishuli,"Nuwakot, Nepal",,27.9800,85.1700,Nuwakot,Bagmati
1381,Police Station Dhunche,Dhunche,"Rasuwa, Nepal",,28.1100,85.3000,Rasuwa,Bagmati
1382,Police Station Chautara,Chautara,"Sindhupalchok, Nepal",,27.7800,85.7100,Sindhupalchok,Bagmati
1383,Police Station Melamchi,Melamchi,"Sindhupalchok, Nepal",,27.8200,85.5800,Sindhupalchok,Bagmati
1384,Police Station Charikot,Charikot,"Dolakha, Nepal",,27.6700,86.0500,Dolakha,Bagmati
1385,Police Station Jiri,Jiri,"Dolakha, Nepal",,27.6300,86.2300,Dolakha,Bagmati
1386,Police Station Manthali,Manthali,"Ramechhap, Nepal",,27.3900,86.0600,Ramechhap,Bagmati
1387,Police Station Sindhulimadhi,Sindhulimadhi,"Sindhuli, Nepal",,27.2500,85.9700,Sindhuli,Bagmati
1388,Police Station Hetauda,Hetauda,"Makwanpur, Nepal",,27.4300,85.0300,Makwanpur,Bagmati
1389,Police Station Bhimphedi,Bhimphedi,"Makwanpur, Nepal",,27.5500,85.1500,Makwanpur,Bagmati
1390,Police Station Bharatpur,Bharatpur,"Chitwan, Nepal",,27.6800,84.4300,Chitwan,Bagmati
1391,Police Station Narayangarh,Narayangarh,"Chitwan, Nepal",,27.6800,84.4300,Chitwan,Bagmati
1392,Police Station Madi,Madi,"Chitwan, Nepal",,27.3500,84.3500,Chitwan,Bagmati
1393,Police Station Pokhara,Pokhara,"Kaski, Nepal",,28.2257,83.9893,Kaski,Gandaki
1394,Police Station Lakeside,Lakeside,"Kaski, Nepal",,28.2100,83.9600,Kaski,Gandaki
1395,Police Station Hemja,Hemja,"Kaski, Nepal",,28.2600,83.9100,Kaski,Gandaki
1396,Police Station Besisahar,Besisahar,"Lamjung, Nepal",,28.2300,84.0100,Lamjung,Gandaki
1397,Police Station Damauli,Damauli,"Tanahun, Nepal",,27.9730,84.2400,Tanahun,Gandaki
1398,Police Station Gorkha,Gorkha,"Gorkha, Nepal",,28.0000,84.6330,Gorkha,Gandaki
1399,Police Station Baglung,Baglung,"Baglung, Nepal",,28.2700,83.5900,Baglung,Gandaki
1400,Police Station Beni,Beni,"Myagdi, Nepal",,28.3500,83.5700,Myagdi,Gandaki
1401,Police Station Kushma,Kushma,"Parbat, Nepal",,28.2200,83.6800,Parbat,Gandaki
1402,Police Station Syangja,Syangja,"Syangja, Nepal",,28.0900,83.8700,Syangja,Gandaki
1403,Police Station Waling,Waling,"Syangja, Nepal",,27.9800,83.7600,Syangja,Gandaki
1404,Police Station Tansen,Tansen,"Palpa, Nepal",,27.8700,83.5500,Palpa,Lumbini
1405,Police Station Rampur,Rampur,"Palpa, Nepal",,27.9200,83.9100,Palpa,Lumbini
1406,Police Station Butwal,Butwal,"Rupandehi, Nepal",,27.7000,83.4500,Rupandehi,Lumbini
1407,Police Station Bhairahawa,Bhairahawa,"Rupandehi, Nepal",,27.5000,83.4500,Rupandehi,Lumbini
1408,Police Station Taulihawa,Taulihawa,"Kapilvastu, Nepal",,27.5500,83.0500,Kapilvastu,Lumbini
1409,Police Station Sandhikharka,Sandhikharka,"Arghakhanchi, Nepal",,27.9500,83.1200,Arghakhanchi,Lumbini
1410,Police Station Tamghas,Tamghas,"Gulmi, Nepal",,28.0800,83.2500,Gulmi,Lumbini
1411,Police Station Nepalgunj,Nepalgunj,"Banke, Nepal",,28.0500,81.6200,Banke,Lumbini
1412,Police Station Kohalpur,Kohalpur,"Banke, Nepal",,28.2100,81.6800,Banke,Lumbini
1413,Police Station Ghorahi,Ghorahi,"Dang, Nepal",,28.0300,82.4800,Dang,Lumbini
1414,Police Station Tulsipur,Tulsipur,"Dang, Nepal",,28.1300,82.3000,Dang,Lumbini
1415,Police Station Lamahi,Lamahi,"Dang, Nepal",,27.8500,82.5500,Dang,Lumbini
1416,Police Station Gulariya,Gulariya,"Bardiya, Nepal",,28.2300,81.3400,Bardiya,Lumbini
1417,Police Station Rajapur,Rajapur,"Bardiya, Nepal",,28.8800,81.1000,Bardiya,Lumbini
1418,Police Station Dhangadhi,Dhangadhi,"Kailali, Nepal",,28.7000,80.5900,Kailali,Sudurpashchim
1419,Police Station Tikapur,Tikapur,"Kailali, Nepal",,28.5200,81.1200,Kailali,Sudurpashchim
1420,Police Station Attariya,Attariya,"Kailali, Nepal",,28.9800,80.6200,Kailali,Sudurpashchim
1421,Police Station Mahendranagar,Mahendranagar,"Kanchanpur, Nepal",,28.9600,80.1800,Kanchanpur,Sudurpashchim
1422,Police Station Belauri,Belauri,"Kanchanpur, Nepal",,28.9000,80.7500,Kanchanpur,Sudurpashchim
1423,Police Station Dadeldhura,Dadeldhura,"Dadeldhura, Nepal",,29.3000,80.5800,Dadeldhura,Sudurpashchim
1424,Police Station Baitadi,Baitadi,"Baitadi, Nepal",,29.5200,80.4300,Baitadi,Sudurpashchim
1425,Police Station Darchula,Darchula,"Darchula, Nepal",,29.8500,80.5500,Darchula,Sudurpashchim
1426,Police Station Bajhang,Chainpur,"Bajhang, Nepal",,29.5500,81.1800,Bajhang,Sudurpashchim
1427,Police Station Bajura,Martadi,"Bajura, Nepal",,29.4200,81.4200,Bajura,Sudurpashchim
1428,Police Station Achham,Mangalsen,"Achham, Nepal",,29.1300,81.2500,Achham,Sudurpashchim
1429,Police Station Surkhet,Birendranagar,"Surkhet, Nepal",,28.6000,81.6300,Surkhet,Karnali
1430,Police Station Dailekh,Dailekh,"Dailekh, Nepal",,28.8500,81.7100,Dailekh,Karnali
1431,Police Station Jajarkot,Jajarkot,"Jajarkot, Nepal",,28.7000,82.1800,Jajarkot,Karnali
1432,Police Station Jumla,Jumla,"Jumla, Nepal",,29.2700,82.1800,Jumla,Karnali
1433,Police Station Kalikot,Kalikot,"Kalikot, Nepal",,29.1500,81.6200,Kalikot,Karnali
1434,Police Station Mugu,Mugu,"Mugu, Nepal",,29.5300,82.0900,Mugu,Karnali
1435,Police Station Dolpa,Dunai,"Dolpa, Nepal",,29.0000,82.8200,Dolpa,Karnali
1436,Police Station Musikot,Musikot,"Rukum West, Nepal",,28.6300,82.4800,Rukum West,Karnali
1437,Police Station Liwang,Liwang,"Rolpa, Nepal",,28.3000,82.6300,Rolpa,Lumbini
1438,Police Station Pyuthan,Pyuthan,"Pyuthan, Nepal",,28.0900,82.8600,Pyuthan,Lumbini
1439,Police Station Salyan,Salyan,"Salyan, Nepal",,28.3800,82.1700,Salyan,Karnali
1440,Police Station Biratnagar,Biratnagar,"Morang, Nepal",,26.4500,87.2700,Morang,Koshi
1441,Police Station Itahari,Itahari,"Sunsari, Nepal",,26.6600,87.2700,Sunsari,Koshi
1442,Police Station Dharan,Dharan,"Sunsari, Nepal",,26.8100,87.2800,Sunsari,Koshi
1443,Police Station Birtamode,Birtamode,"Jhapa, Nepal",,26.6400,88.0000,Jhapa,Koshi
1444,Police Station Damak,Damak,"Jhapa, Nepal",,26.6600,87.7000,Jhapa,Koshi
1445,Police Station Ilam,Ilam,"Ilam, Nepal",,26.9100,87.9300,Ilam,Koshi
1446,Police Station Dhankuta,Dhankuta,"Dhankuta, Nepal",,26.9800,87.3400,Dhankuta,Koshi
1447,Police Station Khandbari,Khandbari,"Sankhuwasabha, Nepal",,27.3800,87.2000,Sankhuwasabha,Koshi
1448,Police Station Bhojpur,Bhojpur,"Bhojpur, Nepal",,27.1700,87.0500,Bhojpur,Koshi
1449,Police Station Diktel,Diktel,"Khotang, Nepal",,27.2100,86.7900,Khotang,Koshi
1450,Police Station Salleri,Salleri,"Solukhumbu, Nepal",,27.7900,86.7200,Solukhumbu,Koshi
1451,Police Station Namche,Namche,"Solukhumbu, Nepal",,27.8050,86.7200,Solukhumbu,Koshi
1452,Police Station Lukla,Lukla,"Solukhumbu, Nepal",,27.6900,86.7300,Solukhumbu,Koshi
1453,Police Station Taplejung,Taplejung,"Taplejung, Nepal",,27.3500,87.6700,Taplejung,Koshi
1454,Police Station Phungling,Phungling,"Taplejung, Nepal",,27.3500,87.6700,Taplejung,Koshi
1455,Police Station Phidim,Phidim,"Panchthar, Nepal",,27.1500,87.7500,Panchthar,Koshi
1456,Police Station Fikkal,Fikkal,"Ilam, Nepal",,26.8900,88.0800,Ilam,Koshi
1457,Police Station Kakarbhitta,Kakarbhitta,"Jhapa, Nepal",,26.6400,88.1500,Jhapa,Koshi
1458,Police Station Mechinagar,Mechinagar,"Jhapa, Nepal",,26.6500,88.1500,Jhapa,Koshi
1459,Police Station Urlabari,Urlabari,"Morang, Nepal",,26.5000,87.6300,Morang,Koshi
1460,Police Station Rangeli,Rangeli,"Morang, Nepal",,26.4500,87.3000,Morang,Koshi
1461,Police Station Belbari,Belbari,"Morang, Nepal",,26.6800,87.4300,Morang,Koshi
1462,Police Station Duhabi,Duhabi,"Sunsari, Nepal",,26.6200,87.1700,Sunsari,Koshi
1463,Police Station Inaruwa,Inaruwa,"Sunsari, Nepal",,26.6100,87.1400,Sunsari,Koshi
1464,Police Station Pakhribas,Pakhribas,"Dhankuta, Nepal",,27.0500,87.3500,Dhankuta,Koshi
1465,Police Station Hile,Hile,"Dhankuta, Nepal",,27.0100,87.3000,Dhankuta,Koshi
1466,Police Station Myanglung,Myanglung,"Terhathum, Nepal",,27.1300,87.5500,Terhathum,Koshi
1467,Police Station Chainpur,Chainpur,"Sankhuwasabha, Nepal",,27.2800,87.3000,Sankhuwasabha,Koshi
1468,Police Station Halesi,Halesi,"Khotang, Nepal",,27.3600,86.7000,Khotang,Koshi
1469,Police Station Katari,Katari,"Udayapur, Nepal",,26.0300,86.1700,Udayapur,Koshi
1470,Police Station Gaighat,Gaighat,"Udayapur, Nepal",,26.8000,86.7000,Udayapur,Koshi
1471,Police Station Birgunj,Birgunj,"Parsa, Nepal",,27.0100,84.8800,Parsa,Madhesh
1472,Police Station Pokhariya,Pokhariya,"Parsa, Nepal",,27.0700,84.6700,Parsa,Madhesh
1473,Police Station Simara,Simara,"Bara, Nepal",,27.1600,84.9800,Bara,Madhesh
1474,Police Station Nijgadh,Nijgadh,"Bara, Nepal",,27.2100,85.1500,Bara,Madhesh
1475,Police Station Bardibas,Bardibas,"Mahottari, Nepal",,26.9900,85.9000,Mahottari,Madhesh
1476,Police Station Dhalkebar,Dhalkebar,"Dhanusha, Nepal",,26.9000,85.9500,Dhanusha,Madhesh
1477,Police Station Sabaila,Sabaila,"Dhanusha, Nepal",,26.8000,85.9000,Dhanusha,Madhesh
1478,Police Station Mirchaiya,Mirchaiya,"Siraha, Nepal",,26.7800,86.2500,Siraha,Madhesh
1479,Police Station Hanumannagar,Hanumannagar,"Saptari, Nepal",,26.5800,86.9000,Saptari,Madhesh
1480,Police Station Chandrapur,Chandrapur,"Rautahat, Nepal",,27.0000,85.4200,Rautahat,Madhesh
1481,Police Station Garuda,Garuda,"Rautahat, Nepal",,26.9800,85.3300,Rautahat,Madhesh
1482,Police Station Lalbandi,Lalbandi,"Sarlahi, Nepal",,27.0300,85.5500,Sarlahi,Madhesh
1483,Police Station Haripur,Haripur,"Sarlahi, Nepal",,26.9500,85.5000,Sarlahi,Madhesh
1484,Police Station Gaushala,Gaushala,"Mahottari, Nepal",,26.9800,85.8500,Mahottari,Madhesh
1485,Police Station Birtamode,Birtamode,"Jhapa, Nepal",,26.6400,88.0000,Jhapa,Koshi
1486,Police Station Damak,Damak,"Jhapa, Nepal",,26.6600,87.7000,Jhapa,Koshi
1487,Police Station Dharan,Dharan,"Sunsari, Nepal",,26.8100,87.2800,Sunsari,Koshi
1488,Police Station Biratnagar,Biratnagar,"Morang, Nepal",,26.4500,87.2700,Morang,Koshi
1489,Police Station Itahari,Itahari,"Sunsari, Nepal",,26.6600,87.2700,Sunsari,Koshi
1490,Police Station Nepalgunj,Nepalgunj,"Banke, Nepal",,28.0500,81.6200,Banke,Lumbini
1491,Police Station Kohalpur,Kohalpur,"Banke, Nepal",,28.2100,81.6800,Banke,Lumbini
1492,Police Station Tansen,Tansen,"Palpa, Nepal",,27.8700,83.5500,Palpa,Lumbini
1493,Police Station Tamghas,Tamghas,"Gulmi, Nepal",,28.0800,83.2500,Gulmi,Lumbini
1494,Police Station Sandhikharka,Sandhikharka,"Arghakhanchi, Nepal",,27.9500,83.1200,Arghakhanchi,Lumbini
1495,Police Station Ghorahi,Ghorahi,"Dang, Nepal",,28.0300,82.4800,Dang,Lumbini
1496,Police Station Tulsipur,Tulsipur,"Dang, Nepal",,28.1300,82.3000,Dang,Lumbini
1497,Police Station Dhangadhi,Dhangadhi,"Kailali, Nepal",,28.7000,80.5900,Kailali,Sudurpashchim
1498,Police Station Attariya,Attariya,"Kailali, Nepal",,28.9800,80.6200,Kailali,Sudurpashchim
1499,Police Station Birendranagar,Birendranagar,"Surkhet, Nepal",,28.6000,81.6300,Surkhet,Karnali
1500,Police Station Chandannath,Jumla,"Jumla, Nepal",,29.2700,82.1800,Jumla,Karnali
1501,Police Station Rukumkot,Rukumkot,"Rukum East, Nepal",,28.6300,82.6300,Rukum East,Lumbini
1502,Police Station Musikot,Musikot,"Rukum West, Nepal",,28.6300,82.4800,Rukum West,Karnali
1503,Police Station Rolpa,Liwang,"Rolpa, Nepal",,28.3000,82.6300,Rolpa,Lumbini
1504,Police Station Pyuthan,Khalanga,"Pyuthan, Nepal",,28.0900,82.8600,Pyuthan,Lumbini
1505,Police Station Salyan,Khalanga,"Salyan, Nepal",,28.3800,82.1700,Salyan,Karnali
1506,Police Station Jajarkot,Khalanga,"Jajarkot, Nepal",,28.7000,82.1800,Jajarkot,Karnali
1507,Police Station Dailekh,Dullu,"Dailekh, Nepal",,28.8300,81.7200,Dailekh,Karnali
1508,Police Station Surkhet,Chhinchu,"Surkhet, Nepal",,28.5200,81.5700,Surkhet,Karnali
1509,Police Station Kalikot,Manma,"Kalikot, Nepal",,29.1500,81.6200,Kalikot,Karnali
1510,Police Station Jumla,Chandannath,"Jumla, Nepal",,29.2700,82.1800,Jumla,Karnali
1511,Police Station Mugu,Gamgadhi,"Mugu, Nepal",,29.5300,82.0900,Mugu,Karnali
1512,Police Station Dolpa,Dunai,"Dolpa, Nepal",,29.0000,82.8200,Dolpa,Karnali
1513,Police Station Dhangadhi,Dhangadhi,"Kailali, Nepal",,28.7000,80.5900,Kailali,Sudurpashchim
1514,Police Station Tikapur,Tikapur,"Kailali, Nepal",,28.5200,81.1200,Kailali,Sudurpashchim
1515,Police Station Lamki,Lamki,"Kailali, Nepal",,28.6500,81.1500,Kailali,Sudurpashchim
1516,Police Station Mahendranagar,Bhimdatta,"Kanchanpur, Nepal",,28.9600,80.1800,Kanchanpur,Sudurpashchim
1517,Police Station Belauri,Belauri,"Kanchanpur, Nepal",,28.9000,80.7500,Kanchanpur,Sudurpashchim
1518,Police Station Dadeldhura,Dadeldhura,"Dadeldhura, Nepal",,29.3000,80.5800,Dadeldhura,Sudurpashchim
1519,Police Station Baitadi,Dasharathchand,"Baitadi, Nepal",,29.5200,80.4300,Baitadi,Sudurpashchim
1520,Police Station Darchula,Khalanga,"Darchula, Nepal",,29.8500,80.5500,Darchula,Sudurpashchim
1521,Police Station Bajhang,Chainpur,"Bajhang, Nepal",,29.5500,81.1800,Bajhang,Sudurpashchim
1522,Police Station Bajura,Martadi,"Bajura, Nepal",,29.4200,81.4200,Bajura,Sudurpashchim
1523,Police Station Achham,Mangalsen,"Achham, Nepal",,29.1300,81.2500,Achham,Sudurpashchim
1524,Police Station Kailali,Dhangadhi,"Kailali, Nepal",,28.7000,80.5900,Kailali,Sudurpashchim
1525,Police Station Kanchanpur,Bhimdatta,"Kanchanpur, Nepal",,28.9600,80.1800,Kanchanpur,Sudurpashchim
1526,Police Station Taplejung,Phungling,"Taplejung, Nepal",,27.3500,87.6700,Taplejung,Koshi
1527,Police Station Panchthar,Phidim,"Panchthar, Nepal",,27.1500,87.7500,Panchthar,Koshi
1528,Police Station Ilam,Ilam,"Ilam, Nepal",,26.9100,87.9300,Ilam,Koshi
1529,Police Station Jhapa,Bhadrapur,"Jhapa, Nepal",,26.5400,88.0900,Jhapa,Koshi
1530,Police Station Morang,Biratnagar,"Morang, Nepal",,26.4500,87.2700,Morang,Koshi
1531,Police Station Sunsari,Inaruwa,"Sunsari, Nepal",,26.6100,87.1400,Sunsari,Koshi
1532,Police Station Dhankuta,Dhankuta,"Dhankuta, Nepal",,26.9800,87.3400,Dhankuta,Koshi
1533,Police Station Bhojpur,Bhojpur,"Bhojpur, Nepal",,27.1700,87.0500,Bhojpur,Koshi
1534,Police Station Khotang,Diktel,"Khotang, Nepal",,27.2100,86.7900,Khotang,Koshi
1535,Police Station Solukhumbu,Salleri,"Solukhumbu, Nepal",,27.7900,86.7200,Solukhumbu,Koshi
1536,Police Station Udayapur,Gaighat,"Udayapur, Nepal",,26.8000,86.7000,Udayapur,Koshi
1537,Police Station Saptari,Rajbiraj,"Saptari, Nepal",,26.5400,86.7500,Saptari,Madhesh
1538,Police Station Siraha,Lahan,"Siraha, Nepal",,26.7200,86.4800,Siraha,Madhesh
1539,Police Station Dhanusha,Janakpur,"Dhanusha, Nepal",,26.7300,85.9200,Dhanusha,Madhesh
1540,Police Station Mahottari,Jaleshwar,"Mahottari, Nepal",,26.6500,85.8000,Mahottari,Madhesh
1541,Police Station Sarlahi,Malangwa,"Sarlahi, Nepal",,26.8600,85.5600,Sarlahi,Madhesh
1542,Police Station Rautahat,Gaur,"Rautahat, Nepal",,26.7700,85.2700,Rautahat,Madhesh
1543,Police Station Bara,Kalaiya,"Bara, Nepal",,26.9900,84.8700,Bara,Madhesh
1544,Police Station Parsa,Birgunj,"Parsa, Nepal",,27.0100,84.8800,Parsa,Madhesh
1545,Police Station Makwanpur,Hetauda,"Makwanpur, Nepal",,27.4300,85.0300,Makwanpur,Bagmati
1546,Police Station Chitwan,Bharatpur,"Chitwan, Nepal",,27.6800,84.4300,Chitwan,Bagmati
1547,Police Station Kaski,Pokhara,"Kaski, Nepal",,28.2257,83.9893,Kaski,Gandaki
1548,Police Station Tanahun,Damauli,"Tanahun, Nepal",,27.9730,84.2400,Tanahun,Gandaki
1549,Police Station Lamjung,Besisahar,"Lamjung, Nepal",,28.2300,84.0100,Lamjung,Gandaki
1550,Police Station Gorkha,Gorkha,"Gorkha, Nepal",,28.0000,84.6330,Gorkha,Gandaki
1551,Police Station Manang,Chame,"Manang, Nepal",,28.5500,84.2300,Manang,Gandaki
1552,Police Station Mustang,Jomsom,"Mustang, Nepal",,28.7800,83.7200,Mustang,Gandaki
1553,Police Station Myagdi,Beni,"Myagdi, Nepal",,28.3500,83.5700,Myagdi,Gandaki
1554,Police Station Baglung,Baglung,"Baglung, Nepal",,28.2700,83.5900,Baglung,Gandaki
1555,Police Station Parbat,Kushma,"Parbat, Nepal",,28.2200,83.6800,Parbat,Gandaki
1556,Police Station Syangja,Putalibazar,"Syangja, Nepal",,28.1000,83.8700,Syangja,Gandaki
1557,Police Station Nawalpur,Kawasoti,"Nawalpur, Nepal",,27.6500,84.1300,Nawalpur,Gandaki
1558,Police Station Gaindakot,Gaindakot,"Nawalpur, Nepal",,27.7000,84.4200,Nawalpur,Gandaki
1559,Police Station Devchuli,Devchuli,"Nawalpur, Nepal",,27.7000,84.2500,Nawalpur,Gandaki
1560,Police Station Kawasoti,Kawasoti,"Nawalpur, Nepal",,27.6500,84.1300,Nawalpur,Gandaki
1561,Police Station Palpa,Tansen,"Palpa, Nepal",,27.8700,83.5500,Palpa,Lumbini
1562,Police Station Gulmi,Tamghas,"Gulmi, Nepal",,28.0800,83.2500,Gulmi,Lumbini
1563,Police Station Arghakhanchi,Sandhikharka,"Arghakhanchi, Nepal",,27.9500,83.1200,Arghakhanchi,Lumbini
1564,Police Station Kapilvastu,Taulihawa,"Kapilvastu, Nepal",,27.5500,83.0500,Kapilvastu,Lumbini
1565,Police Station Rupandehi,Butwal,"Rupandehi, Nepal",,27.7000,83.4500,Rupandehi,Lumbini
1566,Police Station Banke,Nepalgunj,"Banke, Nepal",,28.0500,81.6200,Banke,Lumbini
1567,Police Station Bardiya,Gulariya,"Bardiya, Nepal",,28.2300,81.3400,Bardiya,Lumbini
1568,Police Station Dang,Ghorahi,"Dang, Nepal",,28.0300,82.4800,Dang,Lumbini
1569,Police Station Pyuthan,Khalanga,"Pyuthan, Nepal",,28.0900,82.8600,Pyuthan,Lumbini
1570,Police Station Rolpa,Liwang,"Rolpa, Nepal",,28.3000,82.6300,Rolpa,Lumbini
1571,Police Station Rukum West,Musikot,"Rukum West, Nepal",,28.6300,82.4800,Rukum West,Karnali
1572,Police Station Rukum East,Rukumkot,"Rukum East, Nepal",,28.6300,82.6300,Rukum East,Lumbini
1573,Police Station Salyan,Khalanga,"Salyan, Nepal",,28.3800,82.1700,Salyan,Karnali
1574,Police Station Jajarkot,Khalanga,"Jajarkot, Nepal",,28.7000,82.1800,Jajarkot,Karnali
1575,Police Station Surkhet,Birendranagar,"Surkhet, Nepal",,28.6000,81.6300,Surkhet,Karnali
1576,Police Station Dailekh,Dailekh,"Dailekh, Nepal",,28.8500,81.7100,Dailekh,Karnali
1577,Police Station Kalikot,Manma,"Kalikot, Nepal",,29.1500,81.6200,Kalikot,Karnali
1578,Police Station Jumla,Jumla,"Jumla, Nepal",,29.2700,82.1800,Jumla,Karnali
1579,Police Station Mugu,Gamgadhi,"Mugu, Nepal",,29.5300,82.0900,Mugu,Karnali
1580,Police Station Dolpa,Dunai,"Dolpa, Nepal",,29.0000,82.8200,Dolpa,Karnali
1581,Police Station Kailali,Dhangadhi,"Kailali, Nepal",,28.7000,80.5900,Kailali,Sudurpashchim
1582,Police Station Kanchanpur,Bhimdatta,"Kanchanpur, Nepal",,28.9600,80.1800,Kanchanpur,Sudurpashchim
1583,Police Station Dadeldhura,Dadeldhura,"Dadeldhura, Nepal",,29.3000,80.5800,Dadeldhura,Sudurpashchim
1584,Police Station Baitadi,Dasharathchand,"Baitadi, Nepal",,29.5200,80.4300,Baitadi,Sudurpashchim
1585,Police Station Darchula,Khalanga,"Darchula, Nepal",,29.8500,80.5500,Darchula,Sudurpashchim
1586,Police Station Bajhang,Chainpur,"Bajhang, Nepal",,29.5500,81.1800,Bajhang,Sudurpashchim
