place,latitude,longitude,district,accidents,landslide,avalanche,flood,earthquake_damage,hospital,police,fire_station,emergency_risk,natural_disaster_risk,tourism_risk_index,risk_category,data_quality_score
Ghermu Village Route,28.45,84.52,Lamjung,4.0,8.0,0.0,6.0,6.0,20,15,5,50.0,60.0,65.0,High,100.0
Ilampokhari Lake,28.55,84.3,Lamjung,8.0,12.0,5.0,2.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Kakani Lamjung Hill,28.25,84.35,Lamjung,3.0,5.0,0.0,5.0,5.0,40,30,10,25.0,40.0,45.0,Medium,100.0
Kamalpur Rural Trail,28.25,84.4,Lamjung,5.0,9.0,2.0,6.0,7.0,15,10,3,60.0,70.0,72.0,High,100.0
Kapuche Glacier Lake,28.4,84.25,Lamjung,7.0,15.0,12.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Kapurkot Trail,28.25,84.4,Lamjung,3.0,6.0,0.0,4.0,5.0,30,25,10,35.0,45.0,50.0,Medium,100.0
Khudi River Camp,28.3,84.4,Lamjung,4.0,3.0,0.0,15.0,4.0,30,25,10,35.0,55.0,60.0,Medium,100.0
Khudi Village,28.28,84.35,Lamjung,3.0,6.0,0.0,4.0,5.0,20,15,5,30.0,45.0,45.0,Medium,100.0
Kunchha Village,28.2,84.4,Lamjung,2.0,5.0,0.0,5.0,6.0,10,8,2,55.0,60.0,58.0,Medium,100.0
Lamjung Annapurna Gateway,28.25,84.4,Lamjung,5.0,8.0,2.0,5.0,7.0,20,15,5,50.0,65.0,68.0,High,100.0
Lamjung Besishahar,28.23,84.38,Lamjung,1.0,4.0,0.0,5.0,5.0,15,12,3,35.0,40.0,37.0,Medium,100.0
Lamjung Himal Base Camp,28.55,84.4,Lamjung,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Lamjung Himal Route,28.45,84.3,Lamjung,12.0,16.0,8.0,2.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Lamjung Himal View,28.35,84.35,Lamjung,6.0,10.0,4.0,3.0,6.0,5,5,2,65.0,65.0,68.0,Medium,100.0
Marsyangdi River,28.25,84.4,Lamjung,6.0,2.0,0.0,18.0,4.0,5,4,1,80.0,75.0,78.0,High,100.0
Marsyangdi River Area,28.25,84.45,Lamjung,6.0,2.0,0.0,16.0,4.0,3,3,1,80.0,75.0,78.0,High,100.0
Nangidhar Trail,28.4,84.4,Lamjung,5.0,8.0,0.0,4.0,6.0,20,15,5,45.0,55.0,60.0,Medium,100.0
Nauthar Rural Trail,28.35,84.4,Lamjung,3.0,6.0,0.0,5.0,5.0,30,25,10,35.0,45.0,50.0,Medium,100.0
Nayagaun Rural Area,28.2,84.3,Lamjung,3.0,5.0,0.0,7.0,5.0,50,40,15,20.0,35.0,40.0,Medium,100.0
Ngadi Village,28.31,84.37,Lamjung,4.0,7.0,2.0,4.0,6.0,15,10,3,40.0,50.0,55.0,Medium,100.0
Ngadi Waterfall Trail,28.35,84.42,Lamjung,4.0,6.0,0.0,8.0,5.0,30,25,10,30.0,45.0,50.0,Medium,100.0
Rainas Rural Heritage,28.1,84.5,Lamjung,2.0,4.0,0.0,8.0,4.0,70,60,20,5.0,25.0,30.0,Low,100.0
Sange Khola Route,28.35,84.45,Lamjung,5.0,10.0,2.0,5.0,7.0,15,10,3,60.0,70.0,72.0,High,100.0
Siurung Village,28.3,84.35,Lamjung,3.0,6.0,0.0,4.0,5.0,15,10,3,35.0,45.0,50.0,Medium,100.0
Sundar Bazaar Rural Area,28.15,84.4,Lamjung,2.0,4.0,0.0,12.0,4.0,70,60,20,5.0,25.0,30.0,Low,100.0
Taal Village,28.43,84.47,Lamjung,5.0,12.0,5.0,8.0,7.0,0,1,0,90.0,90.0,90.0,High,100.0
Tanjung Village,28.25,84.4,Lamjung,4.0,7.0,0.0,5.0,6.0,20,15,5,40.0,50.0,55.0,Medium,100.0
Timu Village,28.3,84.35,Lamjung,3.0,7.0,1.0,3.0,6.0,5,4,1,65.0,65.0,65.0,High,100.0
Trekking Route Besisahar,28.23,84.37,Lamjung,5.0,10.0,4.0,4.0,7.0,2,1,0,80.0,80.0,80.0,High,100.0
Trekking Route Khudi,28.25,84.4,Lamjung,4.0,7.0,0.0,9.0,5.0,30,25,10,40.0,55.0,60.0,Medium,100.0
Trekking Route Lamjung,28.4,84.5,Lamjung,6.0,14.0,8.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Trekking Rural Camp Lamjung,28.3,84.4,Lamjung,8.0,12.0,3.0,4.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Trekking Village Besisahar,28.23,84.38,Lamjung,3.0,5.0,0.0,5.0,4.0,40,30,10,20.0,35.0,40.0,Low,100.0
Turture Village Camp,28.2,84.4,Lamjung,6.0,10.0,3.0,5.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Muktinath Temple,28.82,83.87,M Mustang,4.0,10.0,5.0,1.0,8.0,0,0,0,85.0,85.0,85.0,High,100.0
Bardibas Area,26.98,85.92,Mahottari,1.0,0.0,0.0,10.0,3.0,25,20,5,25.0,35.0,30.0,Low,100.0
Bardibas Forest Area,26.98,85.92,Mahottari,2.0,0.0,0.0,10.0,3.0,15,12,3,35.0,40.0,38.0,Medium,100.0
Jaleshwar Mahadev,26.65,85.8,Mahottari,1.0,0.0,0.0,12.0,2.0,20,15,5,30.0,40.0,35.0,Low,100.0
Jaleshwar Temple,26.65,85.8,Mahottari,1.0,0.0,0.0,12.0,2.0,15,12,3,40.0,45.0,42.0,Medium,100.0
Bhimphedi Route,27.55,85.13,Makwanpur,4.0,8.0,2.0,5.0,7.0,2,2,0,80.0,75.0,78.0,High,100.0
Chisapani Makwanpur,27.52,85.2,Makwanpur,5.0,8.0,2.0,5.0,6.0,20,15,5,40.0,55.0,60.0,Medium,100.0
Chitlang Organic Village,27.62,85.2,Makwanpur,2.0,4.0,0.0,3.0,6.0,15,12,3,40.0,45.0,42.0,Medium,100.0
Chitlang Rural Route,27.65,85.2,Makwanpur,3.0,5.0,0.0,5.0,4.0,60,50,20,10.0,25.0,30.0,Low,100.0
Chitlang Village,27.65,85.25,Makwanpur,2.0,4.0,0.0,3.0,4.0,10,8,2,30.0,35.0,32.0,Low,100.0
Chitlang Village Trail,27.65,85.2,Makwanpur,3.0,5.0,0.0,5.0,4.0,60,50,20,10.0,25.0,30.0,Low,100.0
Daman Hill,27.6,85.13,Makwanpur,4.0,10.0,3.0,3.0,7.0,8,5,1,70.0,75.0,73.0,High,100.0
Daman Himalayan View Trail,27.6,85.05,Makwanpur,6.0,10.0,2.0,5.0,7.0,20,15,5,50.0,65.0,68.0,High,100.0
Daman Rural Viewpoint,27.6,85.08,Makwanpur,4.0,7.0,0.0,6.0,5.0,40,30,10,25.0,45.0,50.0,Medium,100.0
Daman View Tower,27.6,85.08,Makwanpur,2.0,4.0,0.0,3.0,5.0,5,4,1,45.0,40.0,42.0,Medium,100.0
Hetauda Botanical Garden,27.43,85.03,Makwanpur,1.0,0.0,0.0,8.0,2.0,50,40,10,10.0,25.0,18.0,Low,100.0
Hetauda Martyr Memorial,27.43,85.03,Makwanpur,1.0,3.0,0.0,8.0,4.0,70,50,20,10.0,30.0,32.0,Low,100.0
Hetauda Martyrs Park,27.43,85.03,Makwanpur,1.0,0.0,0.0,5.0,2.0,45,35,10,10.0,20.0,15.0,Low,100.0
Indrasarovar,27.57,85.16,Makwanpur,3.0,4.0,0.0,10.0,4.0,5,4,1,50.0,55.0,53.0,Medium,100.0
Indrasarovar Lake,27.65,85.2,Makwanpur,3.0,4.0,0.0,12.0,5.0,30,25,10,30.0,50.0,55.0,Medium,100.0
Indrasarovar Rural Lake,27.62,85.2,Makwanpur,3.0,5.0,0.0,12.0,4.0,60,50,20,10.0,30.0,35.0,Low,100.0
Indrasarowar Lake,27.57,85.15,Makwanpur,3.0,5.0,0.0,10.0,5.0,30,20,10,30.0,45.0,50.0,Medium,100.0
Kulekhani Dam,27.59,85.15,Makwanpur,3.0,5.0,0.0,15.0,4.0,8,6,2,45.0,60.0,51.0,Medium,100.0
Kulekhani Dam View,27.58,85.15,Makwanpur,3.0,1.0,0.0,14.0,3.0,8,6,2,65.0,65.0,65.0,High,100.0
Kulekhani Lake,27.58,85.13,Makwanpur,2.0,3.0,0.0,8.0,4.0,50,40,10,15.0,35.0,38.0,Low,100.0
Kulekhani Reservoir,27.59,85.15,Makwanpur,3.0,2.0,0.0,15.0,4.0,40,30,10,25.0,50.0,52.0,Medium,100.0
Kulekhani Rural Camp,27.58,85.15,Makwanpur,5.0,8.0,0.0,15.0,6.0,30,25,10,40.0,60.0,65.0,High,100.0
Kulekhani Rural Lake Route,27.58,85.15,Makwanpur,4.0,6.0,0.0,12.0,5.0,40,30,10,25.0,40.0,45.0,Medium,100.0
Kulekhani Village Trail,27.58,85.15,Makwanpur,5.0,8.0,0.0,15.0,6.0,30,25,10,40.0,60.0,65.0,High,100.0
Makwanpur Daman Rural Trail,27.6,85.05,Makwanpur,5.0,8.0,0.0,8.0,6.0,30,25,10,35.0,50.0,55.0,Medium,100.0
Makwanpur Daman Trail,27.6,85.08,Makwanpur,4.0,7.0,0.0,6.0,5.0,40,30,10,25.0,45.0,50.0,Medium,100.0
Markhu Dam Area,27.59,85.16,Makwanpur,3.0,0.0,0.0,12.0,3.0,15,10,3,55.0,60.0,58.0,Medium,100.0
Markhu Village,27.58,85.13,Makwanpur,3.0,4.0,0.0,8.0,4.0,40,30,10,20.0,40.0,45.0,Medium,100.0
Martyr Memorial Park,27.43,85.03,Makwanpur,1.0,0.0,0.0,5.0,2.0,45,35,10,10.0,20.0,15.0,Low,100.0
Palung Rural Area,27.63,85.1,Makwanpur,4.0,7.0,0.0,8.0,5.0,50,40,15,20.0,35.0,40.0,Medium,100.0
Palung Valley,27.6,85.15,Makwanpur,4.0,7.0,0.0,5.0,6.0,30,25,10,35.0,45.0,50.0,Medium,100.0
Palung Village,27.62,85.1,Makwanpur,2.0,5.0,1.0,3.0,5.0,5,4,1,55.0,50.0,52.0,Medium,100.0
Sim Bhanjyang,27.58,85.1,Makwanpur,4.0,8.0,2.0,2.0,6.0,2,2,0,75.0,70.0,72.0,High,100.0
Thaha Municipality,27.6,85.12,Makwanpur,3.0,6.0,0.0,5.0,5.0,40,30,10,20.0,40.0,45.0,Medium,100.0
Tistung Rural Trail,27.62,85.12,Makwanpur,5.0,9.0,2.0,7.0,7.0,20,15,5,50.0,65.0,68.0,High,100.0
Tistung Trail,27.7,85.1,Makwanpur,5.0,8.0,0.0,4.0,6.0,20,15,5,45.0,55.0,60.0,Medium,100.0
Tistung Village,27.62,85.08,Makwanpur,3.0,7.0,1.0,3.0,5.0,3,3,0,70.0,60.0,64.0,Medium,100.0
Annapurna Circuit High Camp,28.75,84.05,Manang,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Annapurna Circuit Pisang,28.67,84.18,Manang,7.0,15.0,12.0,1.0,9.0,0,0,0,100.0,98.0,99.0,High,100.0
Annapurna Circuit Route,28.7,84.3,Manang,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Annapurna Circuit Thorong La,28.79,84.25,Manang,12.0,19.0,18.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Bagarchhap Village,28.56,84.22,Manang,9.0,13.0,7.0,2.0,8.0,0,0,0,100.0,85.0,85.0,High,100.0
Braga Monastery,28.65,84.02,Manang,5.0,8.0,2.0,2.0,7.0,10,10,3,65.0,70.0,72.0,High,100.0
Braga Village,28.65,84.05,Manang,4.0,10.0,6.0,2.0,8.0,1,1,0,90.0,85.0,87.0,High,100.0
Chame Bazaar,28.55,84.25,Manang,2.0,6.0,2.0,3.0,5.0,3,3,1,60.0,55.0,57.0,Medium,100.0
Chame Village,28.55,84.21,Manang,6.0,10.0,5.0,2.0,7.0,10,5,2,70.0,70.0,72.0,High,100.0
Chame Village Area,28.55,84.23,Manang,4.0,8.0,2.0,3.0,6.0,15,10,3,55.0,65.0,68.0,High,100.0
Chulu East Base Camp,28.76,84.25,Manang,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Chulu West Base Camp,28.77,84.22,Manang,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Dharapani Annapurna,28.55,84.38,Manang,6.0,10.0,3.0,3.0,7.0,5,5,2,65.0,70.0,72.0,High,100.0
Dharapani Rural Route,28.55,84.3,Manang,5.0,8.0,2.0,3.0,6.0,10,8,3,65.0,70.0,72.0,High,100.0
Dharapani Trail,28.55,84.38,Manang,6.0,10.0,3.0,3.0,7.0,5,5,2,65.0,70.0,72.0,High,100.0
Dharapani Trek Point,28.55,84.26,Manang,8.0,12.0,6.0,3.0,7.0,5,5,2,75.0,75.0,75.0,High,100.0
Dharapani Village,28.55,84.26,Manang,8.0,12.0,6.0,3.0,7.0,5,5,2,75.0,75.0,75.0,High,100.0
Gangapurna Lake,28.66,84.0,Manang,7.0,15.0,12.0,1.0,9.0,0,0,0,100.0,100.0,100.0,High,100.0
Ghale Village Trail,28.6,84.2,Manang,8.0,12.0,4.0,2.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Gyaru Village Trail,28.72,84.05,Manang,7.0,12.0,5.0,1.0,8.0,5,5,2,75.0,80.0,85.0,High,100.0
High Camp Thorong,28.76,84.4,Manang,10.0,18.0,17.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Humde Airport,28.67,84.0,Manang,3.0,8.0,4.0,2.0,7.0,2,2,0,80.0,75.0,78.0,High,100.0
Humde Airport Area,28.65,84.08,Manang,4.0,7.0,3.0,2.0,7.0,10,5,2,60.0,65.0,70.0,High,100.0
Humde Village,28.65,84.12,Manang,8.0,14.0,10.0,2.0,8.0,0,0,0,100.0,85.0,85.0,High,100.0
Ice Lake Manang,28.68,84.05,Manang,7.0,14.0,10.0,1.0,8.0,0,0,0,100.0,95.0,98.0,High,100.0
Jagat Manang,28.52,84.48,Manang,5.0,12.0,6.0,3.0,8.0,0,1,0,95.0,90.0,93.0,High,100.0
Kang La Pass,28.75,84.2,Manang,9.0,16.0,13.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Khang La Pass,28.95,84.3,Manang,20.0,20.0,20.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Khangsar Rural Homestay,28.65,84.0,Manang,9.0,14.0,6.0,1.0,8.0,0,0,0,100.0,85.0,88.0,High,100.0
Khangsar Village,28.65,84.03,Manang,10.0,14.0,10.0,2.0,8.0,0,0,0,100.0,85.0,85.0,High,100.0
Khangsar Village Trail,28.65,84.0,Manang,13.0,17.0,10.0,0.0,9.0,0,0,0,100.0,95.0,95.0,High,100.0
Kicho Tal,28.6,84.1,Manang,4.0,10.0,5.0,2.0,6.0,0,0,0,100.0,80.0,92.0,High,100.0
Kicho Tal Area,28.7,84.15,Manang,7.0,15.0,10.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Koto Nar Phu Gateway,28.85,84.35,Manang,12.0,16.0,10.0,0.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Koto Rural Settlement,28.8,84.25,Manang,7.0,12.0,5.0,2.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Koto Village,28.76,84.15,Manang,4.0,10.0,5.0,2.0,7.0,0,1,0,90.0,80.0,84.0,High,100.0
Koto Village Route,28.8,84.25,Manang,7.0,12.0,4.0,2.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Manang Airport Area,28.65,84.02,Manang,4.0,10.0,5.0,1.0,8.0,1,1,0,90.0,80.0,84.0,High,100.0
Manang Icefall Area,28.68,84.02,Manang,9.0,18.0,17.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Manang Ngawal Rural Area,28.7,84.02,Manang,8.0,12.0,5.0,1.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Manang Tilicho Junction,28.65,84.1,Manang,14.0,18.0,12.0,1.0,10.0,0,0,0,100.0,95.0,95.0,High,100.0
Manang Tilicho Route,28.67,84.05,Manang,17.0,20.0,15.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Manang Village,28.67,84.01,Manang,5.0,12.0,7.0,2.0,8.0,0,1,0,95.0,88.0,91.0,High,100.0
Manang Village Route,28.67,84.02,Manang,7.0,12.0,5.0,0.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Meta Village Route,28.85,84.25,Manang,12.0,16.0,8.0,0.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Mungji Village,28.65,84.1,Manang,5.0,12.0,7.0,2.0,8.0,0,0,0,95.0,90.0,93.0,High,100.0
Naar Village,28.8,84.13,Manang,8.0,17.0,14.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Nar Phu Hidden Valley,28.95,84.35,Manang,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Nar Phu Rural Camp,28.95,84.35,Manang,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Nar Phu Valley,28.8,84.15,Manang,15.0,20.0,15.0,2.0,10.0,0,0,0,100.0,100.0,95.0,High,100.0
Nar Phu Valley Camp,28.85,84.2,Manang,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Nar Phu Valley Route,28.85,84.2,Manang,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Nar Rural Homestay,28.95,84.35,Manang,16.0,20.0,15.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Ngawal Rural Route,28.65,84.1,Manang,9.0,14.0,5.0,0.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Ngawal Village,28.67,84.05,Manang,6.0,10.0,5.0,2.0,7.0,5,5,2,70.0,70.0,72.0,High,100.0
Ngawal Village View,28.7,84.02,Manang,5.0,8.0,2.0,2.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Nile Rural Camp,28.95,84.35,Manang,14.0,18.0,12.0,0.0,10.0,0,0,0,100.0,95.0,95.0,High,100.0
Nile Village Manang,28.95,84.35,Manang,12.0,16.0,8.0,0.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Phu Village,28.95,84.35,Manang,18.0,20.0,15.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Phu Village Camp,28.96,84.35,Manang,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Phu Village Settlement,28.96,84.35,Manang,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Pisag Village,28.67,84.18,Manang,7.0,15.0,12.0,1.0,9.0,0,0,0,100.0,98.0,99.0,High,100.0
Pisak Village Trail,28.6,84.0,Manang,11.0,15.0,7.0,0.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Pisand Valley,28.72,84.03,Manang,4.0,8.0,4.0,2.0,5.0,1,1,0,90.0,70.0,82.0,High,100.0
Pisand Valley Route,28.6,84.15,Manang,12.0,16.0,8.0,2.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Pisang Village,28.61,84.08,Manang,8.0,12.0,7.0,3.0,8.0,0,0,0,100.0,80.0,82.0,High,100.0
Pisang Village Route,28.65,84.08,Manang,6.0,10.0,3.0,2.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Pisangkang Village,28.61,84.08,Manang,8.0,12.0,7.0,3.0,8.0,0,0,0,100.0,80.0,82.0,High,100.0
Pislang Village Route,28.65,84.0,Manang,7.0,11.0,4.0,1.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Taal Village,28.52,84.4,Manang,10.0,15.0,8.0,3.0,8.0,0,0,0,100.0,85.0,85.0,High,100.0
Tal Village,28.55,84.3,Manang,10.0,15.0,8.0,2.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Tal Village Manang,28.48,84.55,Manang,5.0,10.0,5.0,8.0,7.0,1,1,0,90.0,90.0,90.0,High,100.0
Tanchowk Rural Trail,28.62,84.15,Manang,5.0,9.0,2.0,3.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Tanki Manang Trail,28.7,84.05,Manang,13.0,17.0,10.0,0.0,9.0,0,0,0,100.0,95.0,95.0,High,100.0
Thorong High Camp,28.79,84.0,Manang,20.0,20.0,20.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Thorong La Pass,28.79,84.0,Manang,20.0,20.0,20.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Thorong La Rural Pass,28.79,84.0,Manang,20.0,20.0,20.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Thorong Pass Route,28.78,84.39,Manang,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Thorong Phedi,28.75,84.0,Manang,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Tilicho Base Camp,28.65,84.05,Manang,15.0,18.0,12.0,1.0,10.0,0,0,0,100.0,95.0,95.0,High,100.0
Tilicho Lake,28.68,84.0,Manang,8.0,14.0,12.0,3.0,7.0,0,0,0,100.0,98.0,95.0,High,100.0
Tilicho Lake Route,28.67,84.03,Manang,10.0,18.0,16.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Tilicho Lake Rural Trail,28.68,84.05,Manang,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Tilicho Rural Trail,28.65,84.15,Manang,15.0,18.0,12.0,0.0,10.0,0,0,0,100.0,95.0,95.0,High,100.0
Timang Village,28.75,84.25,Manang,6.0,10.0,3.0,2.0,7.0,5,5,2,65.0,70.0,72.0,High,100.0
Torong La Alternative Trail,28.8,84.6,Manang,20.0,20.0,20.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Trekker Camp Tal,28.52,84.4,Manang,10.0,15.0,8.0,3.0,8.0,0,0,0,100.0,85.0,85.0,High,100.0
Trekking Route Chamje,28.52,84.3,Manang,10.0,15.0,8.0,3.0,8.0,0,0,0,100.0,85.0,85.0,High,100.0
Upper Pisang,28.65,84.16,Manang,8.0,16.0,14.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Upper Pisang View,28.62,84.15,Manang,8.0,17.0,15.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Yak Kharka,28.7,84.0,Manang,15.0,18.0,15.0,1.0,9.0,0,0,0,100.0,95.0,92.0,High,100.0
Yak Kharka Manang,28.72,84.25,Manang,9.0,18.0,16.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Yak Kharka Route,28.72,84.25,Manang,9.0,18.0,16.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Yak Kharka Trail,28.7,84.0,Manang,15.0,18.0,15.0,1.0,10.0,0,0,0,100.0,100.0,97.0,High,100.0
Yak Khola Route,28.73,84.25,Manang,8.0,17.0,14.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Dhawa Village Trail,28.7,84.65,Manaslu,12.0,16.0,8.0,0.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Betana Wetland,26.55,87.5,Morang,2.0,0.0,0.0,15.0,2.0,40,30,10,20.0,45.0,45.0,Medium,100.0
Birat Chowk Area,26.65,87.28,Morang,1.0,0.0,0.0,10.0,2.0,80,70,25,5.0,25.0,28.0,Low,100.0
Biratnagar Tourism Area,26.45,87.27,Morang,1.0,0.0,0.0,10.0,2.0,40,35,10,5.0,30.0,20.0,Low,100.0
Biratnagar Tourism Zone,26.45,87.27,Morang,1.0,0.0,0.0,10.0,2.0,60,50,15,5.0,25.0,15.0,Low,100.0
Dhanpalthan Area,26.5,87.45,Morang,1.0,0.0,0.0,15.0,2.0,10,8,2,45.0,50.0,48.0,Medium,100.0
Kanepokhari Lake,26.65,87.5,Morang,2.0,0.0,0.0,12.0,2.0,15,12,3,40.0,45.0,42.0,Medium,100.0
Koshi River Bank,26.6,87.1,Morang,3.0,0.0,0.0,15.0,3.0,10,8,2,55.0,60.0,58.0,Medium,100.0
Morang Hill View,26.65,87.45,Morang,1.0,0.0,0.0,8.0,2.0,30,25,8,10.0,25.0,18.0,Low,100.0
Pathari Forest Area,26.6,87.5,Morang,2.0,0.0,0.0,12.0,3.0,10,8,2,45.0,50.0,48.0,Medium,100.0
Rangeli Rural Area,26.45,87.63,Morang,2.0,0.0,0.0,12.0,2.0,50,40,15,10.0,35.0,38.0,Medium,100.0
Sundar Haraicha Forest,26.7,87.18,Morang,2.0,1.0,0.0,12.0,3.0,60,50,20,10.0,35.0,38.0,Medium,100.0
Sundar Haraicha Lake,26.7,87.35,Morang,1.0,0.0,0.0,10.0,2.0,15,12,3,30.0,35.0,32.0,Low,100.0
Urlabari Wetland,26.68,87.35,Morang,2.0,0.0,0.0,10.0,2.0,25,20,5,35.0,40.0,38.0,Medium,100.0
Chankheli Himal Area,29.65,82.8,Mugu,14.0,18.0,12.0,2.0,9.0,0,0,0,100.0,95.0,92.0,High,100.0
Chankheli Mountain Camp,29.8,82.3,Mugu,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Chhayanath Rural Area,29.52,82.1,Mugu,3.0,6.0,0.0,8.0,5.0,30,25,10,40.0,50.0,55.0,Medium,100.0
Chhayanath Rural Temple,29.52,82.1,Mugu,3.0,6.0,0.0,8.0,5.0,30,25,10,40.0,50.0,55.0,Medium,100.0
Chhayanath Rural Trail,29.52,82.1,Mugu,5.0,9.0,2.0,6.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Chhayanath Temple,29.35,82.2,Mugu,3.0,6.0,0.0,4.0,5.0,20,15,5,40.0,50.0,55.0,Medium,100.0
Chhayanath Temple Area,29.52,82.1,Mugu,3.0,6.0,0.0,8.0,5.0,30,25,10,40.0,50.0,55.0,Medium,100.0
Chhayanath Temple Trail,29.55,82.1,Mugu,3.0,6.0,0.0,5.0,6.0,20,15,5,45.0,55.0,60.0,Medium,100.0
Gamgadhi Bazaar,29.52,82.08,Mugu,2.0,6.0,1.0,5.0,6.0,5,4,1,60.0,60.0,60.0,Medium,100.0
Gamgadhi Rural Trail,29.53,82.08,Mugu,3.0,6.0,0.0,10.0,5.0,30,25,10,40.0,50.0,55.0,Medium,100.0
Gamgadhi Village Trail,29.53,82.08,Mugu,4.0,8.0,0.0,10.0,6.0,20,15,5,50.0,60.0,65.0,High,100.0
Karnali Mugu Riverside,29.65,82.3,Mugu,9.0,14.0,5.0,18.0,8.0,5,5,2,75.0,85.0,88.0,High,100.0
Karnali River Mugu,29.5,82.0,Mugu,6.0,2.0,0.0,16.0,4.0,2,2,0,80.0,75.0,78.0,High,100.0
Karnali River Rural Camp,29.7,82.45,Mugu,8.0,12.0,3.0,18.0,8.0,5,5,2,70.0,85.0,88.0,High,100.0
Karnali Riverside Camp,29.6,82.2,Mugu,7.0,12.0,3.0,15.0,7.0,5,5,2,70.0,75.0,78.0,High,100.0
Khatyad Rural Camp,29.55,82.45,Mugu,6.0,10.0,3.0,5.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Khatyad Village Trail,29.7,82.0,Mugu,7.0,12.0,3.0,10.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Kotila Rural Route,29.6,82.2,Mugu,5.0,9.0,2.0,7.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Mugu Chankheli Himal,29.8,82.4,Mugu,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
